1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,1
63,1,2
64,2,2
65,3,2
66,4,2
67,5,2
68,6,2
69,7,2
70,8,2
71,9,2
72,10,2
73,11,2
74,12,2
75,13,2
76,14,2
77,15,2
78,16,2
79,17,2
80,18,2
81,19,2
82,20,2
83,21,2
84,22,2
85,23,2
86,24,2
87,25,2
88,26,2
89,27,2
90,31,2
91,32,2
92,33,2
93,34,2
94,35,2
95,36,2
96,37,2
97,38,2
98,39,2
99,40,2
100,41,2
101,42,2
102,43,2
103,44,2
104,45,2
105,46,2
106,47,2
107,48,2
108,49,2
109,50,2
110,51,2
111,52,2
112,53,2
113,54,2
114,55,2
115,56,2
116,57,2
117,58,2
118,59,2
119,60,2
120,61,2
121,62,2
