"general_catalog","general_catalog.showIndexDepartment","Xem phòng ban","Xem danh sách các phòng ban"
"general_catalog","general_catalog.postDepartment","Thêm phòng ban","Thêm mới một phòng ban"
"general_catalog","general_catalog.deleteDepartment","Xóa phòng ban","Xóa một phòng ban khỏi hệ thống"
"general_catalog","general_catalog.putDepartment","Cập nhật phòng ban","Cập nhật thông tin phòng ban"
"general_catalog","general_catalog.showIndexPosition","Xem chức vụ","Xem danh sách chức vụ"
"general_catalog","general_catalog.postPosition","Thêm chức vụ","Thêm chức vụ mới"
"general_catalog","general_catalog.deletePosition","Xóa chức vụ","Xóa chức vụ khỏi hệ thống"
"general_catalog","general_catalog.putPosition","Cập nhật chức vụ","Cập nhật thông tin chức vụ"
"general_catalog","general_catalog.showIndexEmployee","Xem nhân viên","Xem danh sách nhân viên"
"general_catalog","general_catalog.showUpdateEmployee","Xem cập nhật nhân viên","Xem trang cập nhật nhân viên"
"general_catalog","general_catalog.putEmployee","Cập nhật nhân viên","Cập nhật thông tin nhân viên"
"general_catalog","general_catalog.searchEmployee","Tìm nhân viên","Tìm kiếm nhân viên theo tên hoặc mã"
"general_catalog","general_catalog.showIndexWorkingShift","Xem ca làm việc","Xem danh sách ca làm việc"
"general_catalog","general_catalog.putWorkingShift","Cập nhật ca làm việc","Sửa thông tin ca làm việc"
"general_catalog","general_catalog.deleteWorkingShift","Xóa ca làm việc","Xóa ca làm việc"
"general_catalog","general_catalog.showIndexDeduction","Xem khoản trích nộp","Xem danh sách khoản trích nộp"
"general_catalog","general_catalog.putDeduction","Cập nhật khoản trích nộp","Sửa thông tin khoản trích nộp"
"general_catalog","general_catalog.deleteDeduction","Xóa khoản trích nộp","Xóa khoản trích nộp khỏi hệ thống"
"general_catalog","general_catalog.postDeduction","Thêm khoản trích nộp","Thêm khoản trích nộp mới"
"general_catalog","general_catalog.showIndexAllowance","Xem phụ cấp","Xem danh sách phụ cấp"
"general_catalog","general_catalog.putAllowance","Cập nhật phụ cấp","Sửa thông tin phụ cấp"
"general_catalog","general_catalog.deleteAllowance","Xóa phụ cấp","Xóa phụ cấp khỏi hệ thống"
"general_catalog","general_catalog.postAllowance","Thêm phụ cấp","Thêm phụ cấp mới"
"general_catalog","general_catalog.showIndexBonus","Xem thưởng","Xem danh sách thưởng"
"general_catalog","general_catalog.putBonus","Cập nhật thưởng","Sửa thông tin thưởng"
"general_catalog","general_catalog.deleteBonus","Xóa thưởng","Xóa khoản thưởng"
"general_catalog","general_catalog.postBonus","Thêm thưởng","Thêm khoản thưởng mới"
"system","system.showIndexUser","Xem người dùng","Xem danh sách tài khoản hệ thống"
